Crime_ID,City,Location,Date,Time,Crime_Type,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_ID,Ride_Date,Ride_Time,Pickup_Location,Drop_Location,Ride_Duration_Minutes,Distance_KM,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Rainfall_mm,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Traffic_Congestion_Level,Traffic_Avg_Speed_KMH,Road_Accidents_Reported,Nearby_CCTV_Cameras,Num_Police_Stations_Nearby,Uber_Ola_Route_Overlap,Public_Complaints,Time_of_Day,Passenger_Gender
1001,Mumbai,Bandra West,2025-01-14,17:05:37,Burglary,19.046845,72.811477,7,22.2,True,True,RIDE-20001,2025-01-14,17:05:37,Bandra West,Bandra West,46.5,23.62,633.4,1.0,3.92,Completed,29.1,20.3,6.1,84.4,7.6,Thunderstorm,Medium,38.2,0,9.0,0.0,0.77,Rash driving near signal,Evening,Female
1002,Mumbai,Powai,2024-11-12,11:36:12,Theft,19.138715,72.88494,6,14.4,True,True,RIDE-20002,2024-11-12,11:36:12,Powai,Andheri East,65.6,28.06,655.35,1.5,3.74,Completed,31.6,0.0,7.7,61.0,16.6,Overcast,Medium,41.6,0,8.0,2.0,0.7,Suspicious gathering at night,Morning,Male
1003,Mumbai,Worli,2024-02-03,06:58:36,Stalking,24.876309,77.81766,7,18.2,True,False,RIDE-20003,2024-02-03,06:58:36,Worli,Chembur,51.8,6.71,182.5,1.2,4.62,Completed,36.0,12.6,7.5,84.0,26.5,Rainy,Low,48.0,0,20.0,0.0,0.64,Isolated dark stretch near bus stop,Morning,Male
1004,Delhi,Noida Border (Mayur Vihar),2025-01-04,03:43:56,Harassment,28.609456,77.318554,8,8.0,True,False,RIDE-20004,2025-01-04,03:43:56,Noida Border (Mayur Vihar),Saket,20.3,2.6,117.16,2.5,4.64,Completed,30.2,15.9,6.9,34.7,28.8,Thunderstorm,Severe,19.5,0,16.0,0.0,0.28,Broken CCTV cameras,Night,Female
1005,Delhi,Chandni Chowk,2024-10-17,02:05:46,Harassment,28.667183,77.220676,6,31.6,True,False,RIDE-20005,2024-10-17,02:05:46,Chandni Chowk,Rohini,52.9,30.43,643.82,1.2,4.95,Cancelled_by_User,25.5,59.7,8.2,51.3,17.9,Thunderstorm,Low,48.3,0,19.0,1.0,0.77,Lack of police patrolling,Night,Female
1006,Mumbai,Bandra West,2024-02-06,16:15:17,Harassment,24.20886,75.801296,7,37.7,True,True,RIDE-20006,2024-02-06,16:15:17,Bandra West,Marine Lines,47.5,9.67,262.01,1.0,4.49,Completed,31.8,40.5,5.3,82.8,25.0,Thunderstorm,Low,48.1,0,5.0,3.0,0.51,Poor street lighting reported,Afternoon,Male
1007,Delhi,Janakpuri,2024-01-26,20:34:53,Vandalism,28.643063,77.084957,2,12.5,True,False,RIDE-20007,2024-01-26,20:34:53,Janakpuri,Saket,41.6,8.81,225.67,1.0,4.98,Completed,28.2,0.0,3.9,84.7,18.9,Foggy,High,25.9,0,2.0,0.0,0.79,None,Evening,Female
1008,Mumbai,Bandra West,2024-01-30,16:05:54,Vandalism,23.66876,78.217855,2,12.5,True,False,RIDE-20008,2024-01-30,16:05:54,Bandra West,Andheri East,71.2,19.31,490.56,1.0,4.49,Completed,32.0,22.3,6.3,55.9,21.1,Rainy,Medium,41.6,2,1.0,3.0,0.44,Broken CCTV cameras,Afternoon,Female
1009,Mumbai,Marine Lines,2024-06-27,02:56:15,Theft,18.922463,72.809058,4,29.3,True,False,RIDE-20009,2024-06-27,02:56:15,Marine Lines,Marine Lines,74.0,26.31,662.78,1.2,4.9,Completed,34.7,0.0,8.7,57.0,12.0,Clear,Low,49.1,0,9.0,3.0,0.86,Broken CCTV cameras,Night,Female
1010,Delhi,Okhla,2024-01-02,10:49:08,Theft,28.515115,77.269379,4,23.9,True,False,RIDE-20010,2024-01-02,10:49:08,Okhla,Saket,46.5,5.8,209.94,1.0,3.55,Completed,19.0,25.1,9.7,83.3,6.0,Rainy,Medium,40.1,0,12.0,3.0,0.61,Drunkards roaming near park,Morning,Male
1011,Mumbai,Malad West,2024-01-13,05:47:59,Fraud,19.207494,72.86673,4,32.9,False,False,RIDE-20011,2024-01-13,05:47:59,Malad West,Vashi (Navi Mumbai),57.8,9.82,243.43,1.0,3.56,Completed,27.7,0.0,3.4,60.2,5.6,Foggy,Low,49.0,1,9.0,2.0,0.35,None,Morning,Female
1012,Mumbai,Thane West,2024-05-13,05:37:16,Harassment,19.235483,72.969657,6,32.3,True,True,RIDE-20012,2024-05-13,05:37:16,Thane West,Thane West,49.4,17.59,431.67,1.0,,Completed,32.6,45.8,8.4,66.4,6.7,Thunderstorm,High,27.0,0,4.0,2.0,0.89,None,Morning,Female
1013,Delhi,Shahdara,2024-08-03,21:24:43,Fraud,28.66852,77.278283,3,18.6,True,False,RIDE-20013,2024-08-03,21:24:43,Shahdara,Paharganj,10.0,10.96,291.8,1.2,4.2,Completed,22.1,9.7,7.6,63.0,13.4,Thunderstorm,High,29.5,0,8.0,1.0,0.36,None,Evening,Male
1014,Delhi,Connaught Place,2024-07-31,20:36:12,Burglary,28.630257,77.234187,6,9.3,True,True,RIDE-20014,2024-07-31,20:36:12,Connaught Place,Vasant Kunj,10.4,24.65,666.71,1.0,3.76,Cancelled_by_User,24.0,0.0,9.2,52.4,25.0,Overcast,High,30.9,0,15.0,3.0,0.59,Poor street lighting reported,Evening,Male
1015,Mumbai,Powai,2025-01-19,07:53:40,Snatching,19.100558,72.924075,6,21.4,False,False,RIDE-20015,2025-01-19,07:53:40,Powai,Dadar,27.8,4.79,138.06,1.0,4.31,Completed,26.6,27.8,6.7,71.0,6.6,Thunderstorm,High,27.3,1,1.0,3.0,0.37,Rash driving near signal,Morning,Female
1016,Delhi,Chandni Chowk,2025-01-17,23:34:51,Stalking,28.645099,77.249882,8,19.7,True,True,RIDE-20016,2025-01-17,23:34:51,Chandni Chowk,Connaught Place,35.3,22.23,629.29,1.5,4.88,Cancelled_by_Driver,31.5,0.0,5.1,,8.4,Overcast,Medium,36.3,0,7.0,3.0,0.6,Drunkards roaming near park,Night,Female
1017,Delhi,Pitampura,2024-02-11,15:01:47,Stalking,28.687913,77.16096,7,,False,False,RIDE-20017,2024-02-11,15:01:47,Pitampura,Shahdara,14.5,30.74,596.63,1.0,4.76,Completed,20.7,57.1,7.3,40.4,14.2,Thunderstorm,High,30.8,1,6.0,2.0,0.38,None,Afternoon,Male
1018,Delhi,Connaught Place,2025-01-01,06:04:37,Stalking,28.63529,77.237101,7,31.8,True,True,RIDE-20018,2025-01-01,06:04:37,Connaught Place,Paharganj,54.5,26.26,728.75,1.0,4.3,Completed,38.4,0.0,9.1,31.3,29.0,Clear,High,30.0,1,14.0,1.0,0.25,Isolated dark stretch near bus stop,Morning,Male
1019,Mumbai,Ghatkopar,2024-08-11,23:37:17,Snatching,19.10141,72.910909,6,14.0,True,False,RIDE-20019,2024-08-11,23:37:17,Ghatkopar,Borivali West,25.9,16.21,432.08,1.0,4.78,Completed,27.4,0.0,2.8,89.6,18.9,Foggy,Medium,37.1,0,14.0,3.0,0.36,Broken CCTV cameras,Night,Female
1020,Mumbai,Dadar,2024-05-30,07:25:44,Harassment,19.025095,72.847341,6,17.3,False,False,RIDE-20020,2024-05-30,07:25:44,Dadar,Powai,44.5,15.05,423.09,1.2,3.91,Completed,25.4,0.0,2.6,84.3,9.6,Foggy,Low,49.9,1,17.0,2.0,0.29,Lack of police patrolling,Morning,Female
1021,Mumbai,Vashi (Navi Mumbai),2024-09-30,04:17:02,Harassment,19.063474,72.982572,8,8.5,True,False,RIDE-20021,2024-09-30,04:17:02,Vashi (Navi Mumbai),Vashi (Navi Mumbai),58.9,5.53,138.75,1.0,4.01,Cancelled_by_Driver,33.9,0.0,7.0,,20.7,Clear,Low,47.9,0,10.0,0.0,0.39,None,Night,Other
1022,Mumbai,Andheri East,2024-07-13,14:58:28,Robbery,19.109409,72.874506,9,24.5,True,True,RIDE-20022,2024-07-13,14:58:28,Andheri East,Bandra West,49.6,24.33,704.72,1.0,4.49,Completed,24.0,29.8,8.0,63.1,10.8,Rainy,High,29.2,0,8.0,2.0,0.33,Suspicious gathering at night,Afternoon,Female
1023,Mumbai,Ghatkopar,2024-04-25,20:09:58,Burglary,19.101195,72.893891,7,32.5,True,True,RIDE-20023,2024-04-25,20:09:58,Ghatkopar,Marine Lines,58.7,19.29,436.62,1.2,4.55,Cancelled_by_User,25.0,0.0,1.1,69.4,13.1,Hazy,Medium,36.5,2,19.0,0.0,0.58,None,Evening,Female
1024,Mumbai,Ghatkopar,2024-09-22,20:28:58,Fraud,19.089812,72.922155,4,19.7,False,False,RIDE-20024,2024-09-22,20:28:58,Ghatkopar,Vashi (Navi Mumbai),42.0,5.19,151.48,1.2,4.79,Completed,35.3,49.7,7.8,70.5,12.9,Thunderstorm,Medium,41.8,0,17.0,0.0,0.72,Broken CCTV cameras,Evening,Female
1025,Mumbai,Powai,2024-08-14,01:13:17,Snatching,19.09531,72.906922,7,19.8,False,False,RIDE-20025,2024-08-14,01:13:17,Powai,Malad West,41.5,3.35,135.39,1.2,3.97,Completed,29.5,0.0,5.6,87.4,17.5,Clear,High,28.1,0,16.0,3.0,0.51,Lack of police patrolling,Night,Female
1026,Delhi,Lajpat Nagar,2024-05-21,13:21:59,Fraud,28.554531,77.242269,3,30.1,True,True,RIDE-20026,2024-05-21,13:21:59,Lajpat Nagar,Paharganj,48.2,31.97,766.46,1.2,4.02,Completed,38.9,0.0,3.9,39.3,14.6,Foggy,High,27.5,0,16.0,3.0,0.61,None,Afternoon,Male
1027,Delhi,Shahdara,2024-09-14,18:21:55,Harassment,28.681001,77.271105,6,7.6,False,False,RIDE-20027,2024-09-14,18:21:55,Shahdara,Okhla,39.7,23.81,575.84,1.0,4.2,Cancelled_by_Driver,19.9,23.1,8.4,57.0,28.9,Thunderstorm,High,30.3,0,18.0,0.0,0.45,Drunkards roaming near park,Evening,Female
1028,Mumbai,Dadar,2024-02-20,20:45:55,Burglary,19.038846,72.872671,6,5.0,True,True,RIDE-20028,2024-02-20,20:45:55,Dadar,Juhu,61.7,11.15,276.86,1.2,4.35,Completed,34.5,0.0,8.1,60.8,27.8,Overcast,Low,49.8,0,9.0,0.0,0.33,Suspicious gathering at night,Evening,Female
1029,Mumbai,Borivali West,2024-10-27,09:40:27,Snatching,19.239581,72.839599,6,40.0,True,True,RIDE-20029,2024-10-27,09:40:27,Borivali West,Vashi (Navi Mumbai),41.4,9.5,272.58,2.5,3.94,Cancelled_by_Driver,30.8,0.0,8.4,83.5,6.2,Clear,High,28.0,2,10.0,1.0,0.69,Broken CCTV cameras,Morning,Male
1030,Mumbai,Juhu,2024-02-19,20:41:02,Fraud,19.092007,72.813831,5,30.4,True,False,RIDE-20030,2024-02-19,20:41:02,Juhu,Andheri East,69.1,12.14,304.99,1.5,4.81,Completed,27.1,50.4,7.4,86.3,23.7,Rainy,Medium,36.7,2,5.0,,0.58,Broken CCTV cameras,Evening,Female
1031,Mumbai,Malad West,2024-02-16,12:00:16,Vandalism,19.180871,72.865787,3,28.2,True,False,RIDE-20031,2024-02-16,12:00:16,Malad West,Marine Lines,34.8,21.34,513.64,1.0,4.43,Cancelled_by_User,31.8,39.9,7.3,81.5,21.2,Rainy,Low,47.3,0,16.0,0.0,0.45,None,Afternoon,Male
1032,Delhi,Okhla,2024-10-27,23:46:09,Vandalism,28.529932,77.266751,3,34.0,False,False,RIDE-20032,2024-10-27,23:46:09,Okhla,Noida Border (Mayur Vihar),36.5,30.57,601.38,1.0,4.93,Completed,39.6,0.0,8.2,28.6,11.9,Overcast,Severe,19.7,1,3.0,1.0,0.27,Isolated dark stretch near bus stop,Night,
1033,Mumbai,Marine Lines,2024-04-15,02:53:48,Fraud,18.921329,72.815075,5,12.4,True,False,RIDE-20033,2024-04-15,02:53:48,Marine Lines,Worli,19.6,29.07,579.84,1.0,3.69,Completed,24.2,48.4,6.2,64.6,9.4,Rainy,Low,51.5,0,3.0,3.0,0.33,Poor street lighting reported,Night,Male
1034,Delhi,Chandni Chowk,2025-02-05,21:33:19,Harassment,28.631053,77.230492,8,6.2,False,False,RIDE-20034,2025-02-05,21:33:19,Chandni Chowk,Janakpuri,65.1,15.08,339.09,1.0,4.85,Completed,33.0,0.0,2.8,67.7,14.5,Foggy,Medium,37.8,0,14.0,0.0,0.31,Rash driving near signal,Evening,Female
1035,Mumbai,Andheri East,2024-08-19,07:26:21,Robbery,19.121146,72.883148,8,15.3,True,False,RIDE-20035,2024-08-19,07:26:21,Andheri East,Juhu,53.2,13.54,322.08,1.0,4.75,Completed,30.7,37.3,7.8,64.8,8.1,Rainy,Medium,40.0,1,2.0,2.0,0.27,Isolated dark stretch near bus stop,Morning,Male
